section,profile,family,m,q,n,metric,value,unit,notes
storage,audited_prime_m80,audited_prime,80,6421,2024,master_secret_d:numpy_int64_bytes,16192,bytes,
storage,audited_prime_m80,audited_prime,80,6421,2024,master_secret_d:optimized_storage_bytes,4048,bytes,
storage,audited_prime_m80,audited_prime,80,6421,2024,master_public_P:math_ideal_bytes,3289,bytes,
storage,audited_prime_m80,audited_prime,80,6421,2024,master_public_P:numpy_int64_bytes,16192,bytes,
storage,audited_prime_m80,audited_prime,80,6421,2024,master_public_P:optimized_storage_bytes,4048,bytes,
storage,audited_prime_m80,audited_prime,80,6421,2024,user_private_key_d_i0_d_i1:math_ideal_bytes,6578,bytes,
storage,audited_prime_m80,audited_prime,80,6421,2024,user_private_key_d_i0_d_i1:numpy_int64_bytes,32384,bytes,
storage,audited_prime_m80,audited_prime,80,6421,2024,user_private_key_d_i0_d_i1:optimized_storage_bytes,8096,bytes,
storage,audited_prime_m80,audited_prime,80,6421,2024,user_public_key_P_i0_P_i1:math_ideal_bytes,6578,bytes,
storage,audited_prime_m80,audited_prime,80,6421,2024,user_public_key_P_i0_P_i1:numpy_int64_bytes,32384,bytes,
storage,audited_prime_m80,audited_prime,80,6421,2024,user_public_key_P_i0_P_i1:optimized_storage_bytes,8096,bytes,
storage,audited_prime_m80,audited_prime,80,6421,2024,ephemeral_state_x_y_z:math_ideal_bytes,9867,bytes,
storage,audited_prime_m80,audited_prime,80,6421,2024,ephemeral_state_x_y_z:numpy_int64_bytes,48576,bytes,
storage,audited_prime_m80,audited_prime,80,6421,2024,ephemeral_state_x_y_z:optimized_storage_bytes,12144,bytes,
storage,audited_prime_m80,audited_prime,80,6421,2024,one_party_transcript_vectors:math_ideal_bytes,19734,bytes,
storage,audited_prime_m80,audited_prime,80,6421,2024,one_party_transcript_vectors:numpy_int64_bytes,97152,bytes,
